age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,campaign,pdays,previous,poutcome,season
37,management,married,tertiary,no,8821,yes,no,cellular,14,may,once,never,never,unknown,spring
34,blue-collar,married,secondary,no,2436,yes,no,cellular,14,may,more than once,never,never,unknown,spring
33,blue-collar,single,primary,no,-104,yes,no,cellular,15,may,more than once,plus 6 months,more than 5,other,spring
38,self-employed,single,tertiary,no,917,yes,no,unknown,23,may,once,never,never,unknown,spring
38,management,married,tertiary,no,238,no,no,cellular,4,may,once,6 months,less than 5,success,spring
41,admin.,divorced,secondary,no,348,yes,no,unknown,27,may,more than once,never,never,unknown,spring
53,technician,married,secondary,no,598,no,no,cellular,2,feb,more than once,plus 6 months,less than 5,failure,winter
33,technician,divorced,secondary,yes,-305,no,yes,unknown,9,may,once,never,never,unknown,spring
60,retired,divorced,secondary,no,496,yes,no,cellular,15,may,more than once,never,never,unknown,spring
33,blue-collar,married,secondary,no,932,yes,no,unknown,21,may,once,never,never,unknown,spring
49,blue-collar,single,secondary,no,143,yes,no,unknown,6,may,once,never,never,unknown,spring
64,technician,married,tertiary,no,1319,no,no,cellular,12,mar,more than once,never,never,unknown,spring
48,entrepreneur,married,tertiary,no,354,yes,no,cellular,9,feb,more than once,never,never,unknown,winter
43,management,divorced,tertiary,no,497,no,no,cellular,13,may,once,plus 6 months,more than 5,failure,spring
27,blue-collar,single,secondary,no,4,yes,no,cellular,7,may,more than once,never,never,unknown,spring
32,management,married,secondary,no,350,yes,no,unknown,28,may,more than once,never,never,unknown,spring
36,blue-collar,married,primary,no,828,no,no,cellular,13,may,once,plus 6 months,more than 5,failure,spring
31,technician,single,secondary,no,2377,yes,no,cellular,11,may,more than once,never,never,unknown,spring
24,management,single,tertiary,no,3197,no,no,cellular,22,may,once,never,never,unknown,spring
36,services,married,tertiary,no,2167,yes,yes,unknown,12,may,more than once,never,never,unknown,spring
39,management,married,tertiary,no,63,yes,no,cellular,16,apr,once,plus 6 months,less than 5,failure,spring
28,student,single,secondary,no,246,yes,no,unknown,14,may,more than once,never,never,unknown,spring
53,management,married,tertiary,no,3634,no,no,cellular,7,may,more than once,6 months,more than 5,success,spring
61,admin.,married,unknown,no,4629,yes,no,cellular,27,jan,once,6 months,less than 5,success,winter
44,admin.,divorced,secondary,no,738,yes,no,cellular,11,may,once,6 months,more than 5,failure,spring
53,technician,married,unknown,no,253,yes,no,cellular,8,may,once,never,never,unknown,spring
48,services,married,primary,no,0,yes,no,cellular,20,apr,more than once,plus 6 months,less than 5,failure,spring
56,blue-collar,married,primary,no,862,yes,yes,unknown,7,may,more than once,never,never,unknown,spring
41,blue-collar,married,secondary,no,306,yes,no,telephone,11,may,once,plus 12 months,less than 5,failure,spring
41,management,married,tertiary,no,176,yes,yes,unknown,5,may,once,never,never,unknown,spring
31,management,single,tertiary,no,-429,yes,yes,unknown,27,may,once,never,never,unknown,spring
31,admin.,married,secondary,no,236,yes,yes,telephone,4,may,more than once,never,never,unknown,spring
34,services,single,secondary,no,23,no,no,unknown,13,may,once,never,never,unknown,spring
59,management,single,tertiary,no,68,yes,no,unknown,28,may,more than once,never,never,unknown,spring
55,admin.,married,secondary,no,131,yes,no,unknown,6,may,once,never,never,unknown,spring
35,blue-collar,single,secondary,no,510,yes,no,unknown,16,may,more than once,never,never,unknown,spring
27,student,single,secondary,no,585,no,no,cellular,28,jan,more than once,never,never,unknown,winter
45,self-employed,single,secondary,no,2762,yes,no,cellular,15,may,more than once,never,never,unknown,spring
32,admin.,single,secondary,no,-133,yes,no,cellular,14,may,once,plus 6 months,less than 5,failure,spring
42,admin.,single,secondary,no,61,yes,no,unknown,23,may,once,never,never,unknown,spring
31,entrepreneur,single,tertiary,no,137,no,no,cellular,29,jan,more than once,never,never,unknown,winter
42,management,married,tertiary,no,1162,yes,no,cellular,13,may,more than once,plus 6 months,less than 5,other,spring
27,technician,married,secondary,no,1577,yes,yes,unknown,28,may,more than once,never,never,unknown,spring
34,technician,married,secondary,no,149,yes,no,unknown,29,may,more than once,never,never,unknown,spring
41,technician,single,secondary,no,2242,yes,no,cellular,6,may,more than once,never,never,unknown,spring
35,blue-collar,single,tertiary,no,1011,yes,no,cellular,20,apr,more than once,plus 6 months,less than 5,failure,spring
26,services,married,secondary,no,44,yes,yes,cellular,4,feb,more than once,plus 6 months,more than 5,other,winter
32,admin.,single,secondary,no,45,yes,yes,cellular,14,may,more than once,plus 6 months,more than 5,other,spring
45,blue-collar,married,primary,no,97,yes,no,unknown,7,may,more than once,never,never,unknown,spring
30,management,married,tertiary,no,1814,yes,no,cellular,18,may,more than once,never,never,unknown,spring
31,management,single,tertiary,no,635,yes,no,cellular,20,apr,once,plus 6 months,less than 5,failure,spring
51,blue-collar,married,secondary,no,2964,yes,no,cellular,16,apr,once,never,never,unknown,spring
32,admin.,married,secondary,no,56,yes,no,cellular,2,feb,once,plus 6 months,less than 5,other,winter
31,blue-collar,single,secondary,no,26,no,no,cellular,5,feb,once,never,never,unknown,winter
58,admin.,married,unknown,no,903,no,no,cellular,28,jan,once,never,never,unknown,winter
34,blue-collar,married,secondary,no,237,yes,no,cellular,14,may,more than once,never,never,unknown,spring
35,technician,married,secondary,no,883,yes,no,cellular,7,may,once,plus 6 months,less than 5,failure,spring
26,management,single,tertiary,no,1720,no,no,cellular,3,feb,once,never,never,unknown,winter
23,student,single,secondary,no,486,no,no,cellular,3,mar,once,never,never,unknown,spring
35,technician,married,secondary,no,0,yes,yes,unknown,23,may,more than once,never,never,unknown,spring
28,self-employed,single,secondary,no,68,no,no,cellular,30,apr,once,never,never,unknown,spring
26,services,married,secondary,no,104,no,no,unknown,14,may,once,never,never,unknown,spring
34,unemployed,single,tertiary,no,906,yes,no,unknown,27,may,more than once,never,never,unknown,spring
53,admin.,single,secondary,no,393,no,no,cellular,29,jan,once,never,never,unknown,winter
38,blue-collar,single,primary,no,127,yes,no,cellular,28,jan,once,never,never,unknown,winter
41,services,married,secondary,no,2399,yes,no,cellular,15,may,more than once,plus 6 months,less than 5,failure,spring
52,technician,married,secondary,no,195,yes,no,cellular,17,dec,more than once,plus 6 months,less than 5,failure,winter
43,blue-collar,married,secondary,no,607,yes,no,unknown,26,may,more than once,never,never,unknown,spring
38,entrepreneur,divorced,tertiary,no,504,yes,no,unknown,26,may,more than once,never,never,unknown,spring
35,management,married,tertiary,yes,-10,yes,no,cellular,15,may,more than once,plus 6 months,less than 5,other,spring
34,blue-collar,single,secondary,no,1484,yes,no,unknown,19,may,more than once,never,never,unknown,spring
43,management,married,tertiary,no,489,yes,no,cellular,8,may,once,6 months,less than 5,other,spring
28,blue-collar,single,secondary,no,-284,yes,no,unknown,12,may,once,never,never,unknown,spring
60,housemaid,married,primary,no,211,no,no,cellular,26,feb,more than once,plus 6 months,less than 5,failure,winter
18,student,single,unknown,no,108,no,no,cellular,9,feb,once,plus 6 months,less than 5,success,winter
40,management,married,tertiary,no,2147,yes,no,unknown,30,may,once,never,never,unknown,spring
34,services,married,secondary,no,1337,no,no,cellular,30,apr,once,never,never,unknown,spring
37,technician,married,secondary,no,1450,yes,yes,unknown,21,may,once,never,never,unknown,spring
22,student,single,tertiary,no,1258,no,no,cellular,10,dec,once,6 months,less than 5,failure,winter
30,blue-collar,single,secondary,no,144,yes,no,cellular,5,feb,once,plus 6 months,less than 5,failure,winter
51,services,divorced,secondary,no,-69,yes,no,unknown,7,may,more than once,never,never,unknown,spring
31,technician,single,tertiary,no,424,no,no,cellular,29,jan,once,6 months,less than 5,failure,winter
44,technician,married,secondary,no,0,no,yes,cellular,4,feb,more than once,never,never,unknown,winter
37,services,divorced,secondary,no,398,yes,yes,unknown,5,may,more than once,never,never,unknown,spring
33,admin.,divorced,secondary,no,212,yes,no,unknown,7,jan,once,never,never,unknown,winter
48,entrepreneur,single,secondary,no,315,no,no,unknown,11,feb,once,never,never,unknown,winter
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,once,never,never,unknown,spring
41,blue-collar,married,primary,no,258,yes,no,unknown,7,may,once,never,never,unknown,spring
40,blue-collar,married,secondary,no,1100,yes,no,unknown,29,may,more than once,never,never,unknown,spring
35,blue-collar,married,primary,no,442,yes,no,unknown,26,may,more than once,never,never,unknown,spring
43,blue-collar,married,secondary,no,576,yes,yes,unknown,13,may,once,never,never,unknown,spring
33,blue-collar,single,primary,no,557,yes,no,cellular,17,apr,more than once,plus 6 months,less than 5,failure,spring
53,services,single,secondary,no,4778,yes,no,cellular,14,may,once,never,never,unknown,spring
25,technician,married,tertiary,no,839,yes,no,cellular,18,may,more than once,never,never,unknown,spring
36,blue-collar,married,secondary,no,688,yes,no,unknown,6,may,more than once,never,never,unknown,spring
35,technician,married,secondary,no,1092,no,no,cellular,18,may,once,plus 6 months,less than 5,failure,spring
94,retired,divorced,secondary,no,1234,no,no,cellular,3,mar,once,never,never,unknown,spring
29,blue-collar,married,primary,no,149,yes,no,cellular,15,may,more than once,never,never,unknown,spring
36,technician,divorced,secondary,no,160,yes,no,unknown,26,may,once,never,never,unknown,spring
37,admin.,single,secondary,no,-332,yes,no,unknown,23,may,more than once,never,never,unknown,spring
29,management,single,tertiary,no,2907,yes,no,cellular,26,may,once,never,never,unknown,spring
65,retired,married,primary,no,276,no,no,cellular,22,apr,once,never,never,unknown,spring
58,management,married,tertiary,no,473,no,no,cellular,18,feb,once,plus 6 months,less than 5,success,winter
48,blue-collar,married,secondary,no,741,yes,no,cellular,16,apr,once,never,never,unknown,spring
51,blue-collar,married,secondary,no,1374,yes,no,unknown,30,may,once,never,never,unknown,spring
50,housemaid,single,secondary,no,799,no,no,telephone,28,jan,once,never,never,unknown,winter
32,blue-collar,single,secondary,no,1721,yes,no,unknown,21,may,more than once,never,never,unknown,spring
37,admin.,single,secondary,no,4803,no,no,cellular,15,jan,more than once,never,never,unknown,winter
65,unknown,married,unknown,no,300,no,no,cellular,12,jan,once,never,never,unknown,winter
42,technician,married,secondary,no,440,yes,no,cellular,3,feb,more than once,never,never,unknown,winter
26,self-employed,single,tertiary,no,1078,no,no,cellular,30,apr,more than once,never,never,unknown,spring
29,blue-collar,single,secondary,no,391,yes,no,cellular,18,may,once,never,never,unknown,spring
35,management,married,tertiary,no,0,yes,no,cellular,16,apr,once,never,never,unknown,spring
32,management,single,tertiary,no,819,yes,no,cellular,20,apr,more than once,never,never,unknown,spring
35,management,married,tertiary,no,802,yes,no,cellular,6,may,more than once,never,never,unknown,spring
55,services,divorced,secondary,yes,1,yes,no,unknown,5,may,once,never,never,unknown,spring
46,management,single,secondary,no,244,yes,no,unknown,15,may,once,never,never,unknown,spring
36,blue-collar,married,secondary,no,0,yes,no,unknown,30,may,more than once,never,never,unknown,spring
53,admin.,single,secondary,no,233,yes,no,cellular,13,may,once,never,never,unknown,spring
28,housemaid,divorced,primary,no,1,yes,no,unknown,8,may,once,never,never,unknown,spring
36,technician,married,secondary,yes,947,yes,no,unknown,28,may,more than once,never,never,unknown,spring
33,blue-collar,married,primary,no,0,no,no,cellular,8,may,once,never,never,unknown,spring
30,admin.,single,tertiary,no,739,yes,no,cellular,17,apr,once,never,never,unknown,spring
28,technician,single,tertiary,no,102,no,no,cellular,28,jan,more than once,never,never,unknown,winter
59,retired,married,secondary,no,0,no,yes,unknown,26,may,once,never,never,unknown,spring
31,technician,single,tertiary,no,830,yes,no,cellular,9,feb,more than once,never,never,unknown,winter
32,student,single,secondary,no,329,yes,no,cellular,17,apr,once,never,never,unknown,spring
37,services,married,secondary,no,4760,yes,no,cellular,8,may,more than once,6 months,less than 5,failure,spring
30,technician,married,tertiary,no,-256,yes,no,unknown,15,may,more than once,never,never,unknown,spring
36,unemployed,single,tertiary,no,577,yes,no,unknown,30,may,once,never,never,unknown,spring
43,services,single,secondary,no,66,yes,no,cellular,8,may,once,never,never,unknown,spring
68,retired,married,secondary,no,1146,no,no,cellular,3,mar,more than once,6 months,less than 5,success,spring
55,blue-collar,married,secondary,no,1765,yes,no,cellular,5,feb,once,plus 6 months,less than 5,failure,winter
31,self-employed,married,secondary,no,581,yes,no,cellular,14,may,more than once,6 months,less than 5,failure,spring
46,services,divorced,unknown,no,973,no,no,cellular,2,feb,once,never,never,unknown,winter
38,technician,divorced,secondary,no,5733,yes,no,cellular,12,may,more than once,plus 6 months,less than 5,failure,spring
49,technician,single,secondary,no,0,yes,no,unknown,20,may,more than once,never,never,unknown,spring
34,admin.,single,tertiary,no,458,yes,no,unknown,20,may,once,never,never,unknown,spring
33,blue-collar,married,secondary,no,580,yes,no,unknown,28,may,once,never,never,unknown,spring
55,management,single,tertiary,no,0,no,no,cellular,30,apr,more than once,never,never,unknown,spring
35,blue-collar,divorced,secondary,no,286,yes,no,cellular,15,may,once,plus 6 months,less than 5,other,spring
36,services,divorced,secondary,no,223,yes,yes,cellular,11,may,once,never,never,unknown,spring
53,blue-collar,married,primary,no,95,yes,no,unknown,29,may,more than once,never,never,unknown,spring
35,management,single,tertiary,no,-292,yes,no,cellular,18,may,more than once,plus 6 months,more than 5,failure,spring
55,management,divorced,unknown,no,0,yes,no,cellular,11,may,more than once,never,never,unknown,spring
27,services,single,secondary,no,123,yes,no,unknown,12,may,more than once,never,never,unknown,spring
34,management,married,tertiary,no,133,yes,no,unknown,8,may,once,never,never,unknown,spring
36,self-employed,single,tertiary,no,258,no,no,cellular,5,feb,once,never,never,unknown,winter
49,entrepreneur,married,primary,no,282,yes,yes,cellular,13,may,once,never,never,unknown,spring
53,services,married,secondary,no,10749,yes,no,unknown,14,may,once,never,never,unknown,spring
37,entrepreneur,divorced,secondary,no,1190,yes,no,unknown,9,may,more than once,never,never,unknown,spring
31,technician,single,secondary,no,55,no,no,unknown,28,may,once,never,never,unknown,spring
32,services,married,secondary,no,0,yes,yes,unknown,7,may,more than once,never,never,unknown,spring
48,management,divorced,tertiary,no,657,no,yes,cellular,29,jan,more than once,never,never,unknown,winter
26,admin.,single,secondary,no,1348,no,no,cellular,30,jan,once,never,never,unknown,winter
42,entrepreneur,married,tertiary,no,233,no,no,cellular,5,feb,once,never,never,unknown,winter
37,unemployed,single,tertiary,no,1032,no,no,telephone,4,feb,once,never,never,unknown,winter
40,blue-collar,divorced,secondary,no,-244,yes,no,cellular,12,may,more than once,never,never,unknown,spring
78,retired,married,primary,no,832,no,no,telephone,11,may,more than once,never,never,unknown,spring
39,unemployed,divorced,secondary,no,507,yes,no,unknown,12,may,more than once,never,never,unknown,spring
33,management,married,tertiary,no,5289,yes,no,cellular,6,may,more than once,never,never,unknown,spring
37,management,married,tertiary,no,21,yes,no,unknown,29,may,more than once,never,never,unknown,spring
29,management,married,tertiary,no,7832,yes,no,unknown,27,may,more than once,never,never,unknown,spring
57,blue-collar,married,secondary,no,0,yes,no,cellular,14,may,more than once,never,never,unknown,spring
52,management,married,tertiary,no,-1224,yes,no,cellular,7,may,more than once,never,never,unknown,spring
35,blue-collar,married,secondary,no,485,yes,no,cellular,16,apr,once,never,never,unknown,spring
57,management,married,tertiary,no,10583,no,no,cellular,25,mar,once,6 months,more than 5,success,spring
35,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,once,never,never,unknown,spring
53,admin.,married,secondary,no,7598,yes,no,unknown,23,may,more than once,never,never,unknown,spring
31,technician,single,tertiary,no,3729,yes,no,cellular,5,feb,more than once,6 months,more than 5,other,winter
33,admin.,divorced,secondary,no,420,yes,no,telephone,6,feb,more than once,never,never,unknown,winter
37,blue-collar,single,secondary,no,2032,yes,no,unknown,21,may,more than once,never,never,unknown,spring
27,technician,divorced,secondary,no,114,yes,yes,unknown,9,may,more than once,never,never,unknown,spring
52,blue-collar,married,secondary,no,157,yes,yes,unknown,19,may,more than once,never,never,unknown,spring
44,services,married,primary,no,2557,yes,no,cellular,14,apr,once,plus 6 months,more than 5,success,spring
35,services,married,secondary,no,240,yes,yes,cellular,11,may,more than once,never,never,unknown,spring
50,entrepreneur,married,secondary,no,533,yes,no,cellular,11,may,more than once,never,never,unknown,spring
35,services,single,secondary,no,-291,yes,no,cellular,20,apr,more than once,never,never,unknown,spring
30,management,single,tertiary,no,3967,yes,no,unknown,23,may,once,never,never,unknown,spring
47,retired,married,tertiary,no,1225,yes,yes,cellular,29,jan,more than once,plus 6 months,less than 5,failure,winter
42,management,married,secondary,no,218,yes,no,cellular,12,may,more than once,plus 6 months,less than 5,failure,spring
40,self-employed,single,unknown,no,109,yes,no,cellular,4,feb,once,never,never,unknown,winter
50,management,married,tertiary,no,0,no,no,unknown,6,may,once,never,never,unknown,spring
38,technician,married,secondary,no,61,yes,no,unknown,28,may,once,never,never,unknown,spring
33,management,single,tertiary,no,1011,yes,no,unknown,12,may,more than once,never,never,unknown,spring
38,blue-collar,married,primary,no,354,yes,no,telephone,13,may,once,never,never,unknown,spring
35,admin.,married,secondary,no,304,no,no,cellular,18,mar,once,never,never,unknown,spring
44,unemployed,divorced,primary,no,757,no,no,unknown,30,may,more than once,never,never,unknown,spring
28,student,single,secondary,no,949,yes,no,unknown,28,may,once,never,never,unknown,spring
31,technician,single,secondary,no,863,yes,no,cellular,25,may,more than once,6 months,more than 5,failure,spring
27,services,single,secondary,no,1043,yes,no,unknown,27,may,more than once,never,never,unknown,spring
28,services,married,secondary,no,222,yes,no,unknown,29,may,more than once,never,never,unknown,spring
41,management,married,tertiary,no,65,yes,no,unknown,6,may,more than once,never,never,unknown,spring
43,technician,married,tertiary,no,743,yes,no,unknown,7,may,more than once,never,never,unknown,spring
80,housemaid,married,secondary,no,499,no,no,telephone,13,apr,more than once,plus 12 months,less than 5,failure,spring
33,admin.,single,secondary,no,892,yes,no,unknown,21,may,once,never,never,unknown,spring
48,entrepreneur,single,secondary,no,0,yes,no,cellular,6,may,once,never,never,unknown,spring
58,technician,married,secondary,no,589,yes,no,cellular,10,feb,more than once,plus 6 months,more than 5,success,winter
26,admin.,single,secondary,no,140,yes,no,cellular,15,may,more than once,never,never,unknown,spring
50,blue-collar,married,primary,no,1533,yes,no,unknown,5,may,more than once,never,never,unknown,spring
52,admin.,married,primary,no,2255,yes,no,unknown,30,may,more than once,never,never,unknown,spring
36,blue-collar,single,unknown,no,43,no,yes,cellular,5,feb,more than once,never,never,unknown,winter
37,housemaid,single,primary,no,0,no,no,cellular,28,jan,once,never,never,unknown,winter
44,technician,married,secondary,no,265,yes,no,unknown,28,may,more than once,never,never,unknown,spring
39,technician,married,secondary,no,504,yes,no,unknown,12,may,once,never,never,unknown,spring
38,technician,divorced,secondary,no,0,yes,no,cellular,16,apr,once,never,never,unknown,spring
39,management,single,tertiary,no,1428,yes,no,cellular,6,may,once,never,never,unknown,spring
34,admin.,married,secondary,no,256,no,no,unknown,27,may,more than once,never,never,unknown,spring
48,technician,divorced,secondary,no,-63,no,yes,unknown,15,may,once,plus 12 months,less than 5,other,spring
46,services,married,secondary,no,561,yes,no,cellular,9,feb,more than once,plus 6 months,more than 5,failure,winter
34,technician,divorced,secondary,no,705,yes,yes,cellular,2,apr,once,never,never,unknown,spring
35,technician,divorced,secondary,yes,362,no,no,cellular,29,jan,more than once,plus 6 months,more than 5,other,winter
41,self-employed,single,tertiary,no,1081,no,no,cellular,27,may,more than once,never,never,unknown,spring
39,services,single,secondary,no,-244,yes,no,unknown,8,may,more than once,never,never,unknown,spring
43,entrepreneur,single,tertiary,no,0,yes,no,unknown,26,may,more than once,never,never,unknown,spring
60,admin.,married,secondary,no,1914,yes,no,cellular,20,apr,once,plus 6 months,less than 5,failure,spring
32,housemaid,married,tertiary,no,357,yes,no,cellular,3,feb,more than once,6 months,less than 5,failure,winter
41,management,single,tertiary,no,120,no,yes,cellular,24,mar,once,6 months,less than 5,other,spring
37,blue-collar,married,secondary,no,0,yes,no,cellular,13,may,once,plus 6 months,less than 5,failure,spring
24,admin.,single,secondary,no,1019,yes,no,unknown,19,may,more than once,never,never,unknown,spring
44,services,married,primary,no,2386,yes,no,cellular,7,may,more than once,never,never,unknown,spring
43,blue-collar,married,secondary,no,1617,yes,no,cellular,7,apr,once,never,never,unknown,spring
25,unemployed,married,secondary,no,285,yes,no,unknown,29,may,more than once,never,never,unknown,spring
39,admin.,single,secondary,no,113,yes,no,unknown,6,may,once,never,never,unknown,spring
59,retired,married,secondary,no,2516,yes,yes,unknown,14,may,once,never,never,unknown,spring
31,student,single,unknown,no,640,no,no,cellular,3,feb,once,never,never,unknown,winter
31,blue-collar,single,secondary,no,5607,no,no,unknown,20,may,once,never,never,unknown,spring
57,management,married,tertiary,no,1016,no,no,telephone,10,dec,once,never,never,unknown,winter
54,entrepreneur,single,tertiary,no,5417,yes,no,cellular,3,apr,once,never,never,unknown,spring
46,technician,married,tertiary,no,-369,yes,yes,cellular,6,feb,more than once,never,never,unknown,winter
36,blue-collar,married,secondary,no,414,no,no,cellular,3,feb,more than once,never,never,unknown,winter
52,blue-collar,married,secondary,no,782,yes,no,unknown,5,may,more than once,never,never,unknown,spring
47,management,married,tertiary,no,0,yes,no,cellular,4,mar,more than once,plus 6 months,less than 5,failure,spring
35,technician,single,tertiary,no,1362,yes,no,unknown,21,may,once,never,never,unknown,spring
42,blue-collar,married,secondary,no,476,yes,no,unknown,13,may,once,never,never,unknown,spring
32,blue-collar,single,secondary,no,-219,yes,no,cellular,7,may,more than once,plus 6 months,less than 5,failure,spring
51,management,married,tertiary,no,4917,no,no,cellular,23,apr,once,never,never,unknown,spring
64,technician,married,tertiary,no,826,no,no,telephone,22,apr,once,never,never,unknown,spring
32,student,single,secondary,no,1883,yes,no,unknown,23,may,once,never,never,unknown,spring
35,technician,divorced,secondary,no,787,yes,no,unknown,5,may,more than once,never,never,unknown,spring
51,blue-collar,married,primary,no,40,yes,no,cellular,13,may,once,plus 12 months,less than 5,failure,spring
58,services,married,secondary,no,1301,yes,no,cellular,11,may,once,plus 6 months,less than 5,failure,spring
35,management,married,tertiary,no,8000,no,no,cellular,13,may,once,6 months,less than 5,success,spring
55,services,divorced,primary,no,2923,yes,no,cellular,29,jan,once,plus 6 months,less than 5,failure,winter
31,management,married,tertiary,no,732,yes,no,cellular,29,jan,once,plus 6 months,less than 5,failure,winter
38,unemployed,married,primary,no,1147,yes,yes,unknown,8,may,more than once,never,never,unknown,spring
55,technician,married,unknown,no,84,yes,no,unknown,8,may,once,never,never,unknown,spring
36,blue-collar,married,primary,no,973,yes,yes,unknown,23,may,once,never,never,unknown,spring
40,technician,married,primary,no,644,yes,no,cellular,16,apr,more than once,plus 6 months,less than 5,failure,spring
27,student,single,secondary,no,1411,no,no,cellular,2,feb,once,never,never,unknown,winter
36,self-employed,single,tertiary,no,583,no,no,cellular,30,jan,once,plus 6 months,less than 5,other,winter
44,technician,married,secondary,no,-393,no,no,cellular,9,feb,more than once,never,never,unknown,winter
28,admin.,married,secondary,no,7707,yes,no,unknown,30,may,more than once,never,never,unknown,spring
48,services,single,primary,no,-139,no,no,cellular,13,may,more than once,never,never,unknown,spring
44,management,married,tertiary,no,12392,yes,no,cellular,13,may,more than once,plus 6 months,less than 5,other,spring
30,blue-collar,married,unknown,no,198,yes,no,unknown,21,may,more than once,never,never,unknown,spring
44,admin.,single,secondary,no,275,yes,no,cellular,14,may,more than once,plus 12 months,less than 5,failure,spring
25,technician,single,secondary,no,1105,yes,no,cellular,17,apr,once,never,never,unknown,spring
27,student,single,secondary,no,760,no,no,cellular,28,jan,more than once,never,never,unknown,winter
70,retired,married,secondary,no,6422,no,no,cellular,10,mar,once,never,never,unknown,spring
32,technician,single,secondary,no,2979,no,no,cellular,25,may,once,never,never,unknown,spring
37,admin.,single,secondary,no,20,yes,no,cellular,11,may,once,plus 12 months,less than 5,failure,spring
33,blue-collar,married,secondary,no,7,yes,no,telephone,11,may,more than once,never,never,unknown,spring
39,management,married,tertiary,no,613,no,no,cellular,26,may,more than once,plus 12 months,less than 5,success,spring
32,blue-collar,married,primary,no,-94,yes,yes,cellular,11,may,once,never,never,unknown,spring
51,blue-collar,married,secondary,no,362,yes,yes,cellular,4,feb,more than once,never,never,unknown,winter
31,management,single,tertiary,no,775,yes,no,cellular,20,apr,once,plus 6 months,less than 5,failure,spring
51,technician,married,tertiary,no,1347,yes,yes,cellular,30,apr,once,6 months,less than 5,success,spring
31,blue-collar,single,secondary,no,-219,yes,no,unknown,30,may,more than once,never,never,unknown,spring
33,blue-collar,married,secondary,no,1790,yes,yes,unknown,9,may,once,never,never,unknown,spring
36,admin.,married,tertiary,no,211,yes,no,unknown,5,may,more than once,never,never,unknown,spring
36,blue-collar,married,secondary,no,4986,yes,no,cellular,12,may,more than once,never,never,unknown,spring
33,blue-collar,married,secondary,no,526,yes,no,cellular,20,apr,more than once,never,never,unknown,spring
38,technician,single,secondary,no,553,yes,no,cellular,15,may,more than once,plus 6 months,more than 5,other,spring
34,blue-collar,single,secondary,no,89,yes,yes,unknown,21,may,more than once,never,never,unknown,spring
32,blue-collar,single,secondary,no,623,yes,no,cellular,20,apr,more than once,never,never,unknown,spring
29,technician,single,secondary,no,113,no,no,cellular,12,feb,more than once,plus 6 months,less than 5,success,winter
27,student,single,tertiary,no,1390,no,no,cellular,30,apr,once,never,never,unknown,spring
31,student,single,unknown,no,988,no,no,cellular,4,dec,more than once,plus 6 months,more than 5,other,winter
58,self-employed,married,unknown,no,1187,yes,no,cellular,6,may,more than once,never,never,unknown,spring
54,blue-collar,married,primary,no,433,yes,no,cellular,20,apr,more than once,never,never,unknown,spring
43,management,married,secondary,no,3301,yes,yes,cellular,26,mar,more than once,never,never,unknown,spring
38,blue-collar,divorced,secondary,no,-90,no,yes,cellular,12,may,once,never,never,unknown,spring
51,technician,married,secondary,no,220,yes,no,unknown,7,may,more than once,never,never,unknown,spring
27,services,married,secondary,no,311,yes,no,cellular,15,may,once,plus 6 months,less than 5,failure,spring
33,blue-collar,single,secondary,no,1254,yes,no,cellular,14,apr,once,never,never,unknown,spring
30,technician,single,tertiary,no,-522,yes,no,unknown,13,may,once,never,never,unknown,spring
33,management,married,tertiary,no,373,no,no,cellular,28,jan,once,never,never,unknown,winter
28,student,single,secondary,no,689,no,no,cellular,2,feb,once,never,never,unknown,winter
54,blue-collar,married,primary,no,24,yes,no,unknown,15,may,once,never,never,unknown,spring
31,technician,married,tertiary,no,0,yes,yes,unknown,13,may,more than once,never,never,unknown,spring
33,management,single,tertiary,no,5145,yes,no,cellular,14,may,once,6 months,less than 5,other,spring
32,blue-collar,single,secondary,no,235,yes,no,cellular,12,may,once,never,never,unknown,spring
45,admin.,married,secondary,no,1435,yes,no,cellular,30,apr,once,never,never,unknown,spring
44,services,married,secondary,no,0,yes,yes,unknown,16,may,more than once,never,never,unknown,spring
35,technician,single,secondary,no,183,no,no,cellular,24,apr,more than once,never,never,unknown,spring
37,blue-collar,married,primary,no,461,yes,no,unknown,30,may,more than once,never,never,unknown,spring
40,entrepreneur,married,tertiary,no,2644,yes,no,cellular,3,apr,once,6 months,less than 5,failure,spring
60,admin.,divorced,unknown,no,791,yes,no,unknown,13,may,once,never,never,unknown,spring
30,technician,single,tertiary,no,1070,no,no,cellular,14,dec,more than once,never,never,unknown,winter
60,retired,married,tertiary,no,0,yes,no,unknown,13,may,more than once,never,never,unknown,spring
44,services,married,secondary,no,361,yes,no,unknown,29,may,once,never,never,unknown,spring
33,services,single,secondary,no,310,yes,no,cellular,12,may,more than once,plus 12 months,less than 5,failure,spring
45,management,married,tertiary,no,2022,no,no,unknown,30,may,once,never,never,unknown,spring
37,technician,married,secondary,no,-254,yes,yes,unknown,28,may,more than once,never,never,unknown,spring
61,retired,married,tertiary,no,32685,no,no,cellular,2,mar,more than once,never,never,unknown,spring
25,student,single,tertiary,no,641,yes,no,unknown,12,may,once,never,never,unknown,spring
32,blue-collar,married,secondary,no,485,yes,no,telephone,12,may,more than once,never,never,unknown,spring
